"record_id","session_id","parent_session_id","title","abstract","start_time_utc","end_time_utc","start_time_event_local","end_time_event_local","session_type","session_format","venue","sub_venue","location_name","location_id","status"
"5a180dca-1066-447a-8cf1-cb0f4283de98","8f5f8944-1162-403c-a1db-630773982de4",,"Agents, context, MCP","There are 4 20-minute talks in this session:

1:00 - 1:20PM CT \| What context do your AI agents actually need \|
Sharon Wang

1:20 - 1:40PM CT \| AI Agents Deserve R \| James Wade

1:40 - 2:00PM CT \| MCP, or not MCP \| Neal Richardson

2:00 - 2:20PM CT \| Everything you wanted to know about agents\* (\*but
were afraid to ask) \| Winston Chang",2026-09-15 18:00:00,2026-09-15 19:20:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:20:00 CDT","Virtual","HYBRID","STAGE","Lanier Ballroom A-F","Ballroom A-F","a94f5251-3484-4b8e-90df-fbc15b0cf375","UPCOMING"
"7f15b16a-b04f-47fa-9b10-5f03de306506","90cce9cc-a61e-489e-bb26-d937b7190e46","6e2e84ec-d307-483d-ab7a-e68b54ec2abb","Another one writes the code","Generative AI can now write code across the data science lifecycle and
produce plausible interpretations, challenging core assumptions about
what beginners should learn and how they should be assessed. This talk
examines the redesign of an introductory data science course at Duke
University in response to these shifts. Some changes were made because
of AI, including new in-class assessments; others were made thanks to
AI, such as integrating just-in-time feedback in the IDE. I will discuss
what changed, what failed, what improved, and how student
feedback—ranging from enthusiasm to skepticism—is shaping an evolving
approach to teaching data science in the age of generative AI.",2026-09-15 18:00:00,2026-09-15 18:20:00,"2026-09-15 13:00:00 CDT","2026-09-15 13:20:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom H & K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","UPCOMING"
"f1b1ef68-462d-46bc-8979-3054a16ced11","6e2e84ec-d307-483d-ab7a-e68b54ec2abb",,"Teaching at the frontier","There are 4 20-minute talks in this session:

1:00 - 1:20PM CT \| Another one writes the code \| Mine Cetinkaya-Rundel

1:20 - 1:40PM CT \| Positron and the Three Bears: Teaching Python with
Positron \| Marc Dotson

1:40 - 2:00PM CT \| From Programming Alone to Programming and Prompting:
Teaching Bilingual AI-Enabled Data Science with Positron and Quarto \|
Derrick Cogburn

2:00PM - 2:20PM CT \| Designing Reproducible Learning Ecosystems with R
and Quarto \| Christian Martinez",2026-09-15 18:00:00,2026-09-15 19:20:00,"2026-09-15 13:00:00 CDT","2026-09-15 14:20:00 CDT","Virtual","HYBRID","STAGE","Lanier Ballroom H&K","Ballroom H & K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","UPCOMING"
"13c1ac15-5244-4a96-88e5-dde436468f8b","f5d9b2d2-09d7-4d56-9cb2-2025daaca4f4","8f5f8944-1162-403c-a1db-630773982de4","What context do your AI agents actually need?","Context window! AGENTS.md! Custom instructions! Agent skills! Max
tokens?? If you use AI agents in your data science work, you've probably
heard tips about these things and already use some of them. But does it
actually feel like your agents have the context they need about your
data, packages, and analysis? Or do you find yourself re-explaining your
data, spending more time editing agent output than doing the actual
task, or using up tokens faster than you'd like? Drawing on experience
building Positron's agent features, this talk covers how to manage
context: what kinds matter (from data to project structure), how to
include them (files you write in advance vs. fetching info on the fly),
and how to get results you don't have to rewrite.",2026-09-15 18:00:00,2026-09-15 18:20:00,"2026-09-15 13:00:00 CDT","2026-09-15 13:20:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom A-F","a94f5251-3484-4b8e-90df-fbc15b0cf375","UPCOMING"
"6ed87c5b-348b-404b-a19f-0392d4123489","75d5ff32-6ce2-439e-9ffb-85f43a5eca0f","8f5f8944-1162-403c-a1db-630773982de4","AI Agents Deserve R","R users have deep domain knowledge and finely-tuned workflows. You
should not have to abandon them to use AI. The R ecosystem already has
incredible building blocks: ellmer, shinychat, ragnar, and more. This
talk will cover some new entrants that such as deputy, dsprrr, and
shinymcp that grow the stack. Built on ellmer, deputy adds agentic
workflows. This includes agents that plan, use tools, and solve
multi-step tasks. dsprrr lets you program, not prompt, your LLM
pipelines. Compose modules and let data-driven optimization tune for
you. With coding agents making it easier than ever to port innovations
across languages, R's AI story has never been stronger. Stay in an
ecosystem you love and bring agents with you.",2026-09-15 18:20:00,2026-09-15 18:40:00,"2026-09-15 13:20:00 CDT","2026-09-15 13:40:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom A-F","a94f5251-3484-4b8e-90df-fbc15b0cf375","UPCOMING"
"e1335772-02d0-4988-b282-056c09b07f32","9cf9f47e-0f42-49f3-ad9e-346ca879d4a9","59aa2a5a-0cb8-42ff-af1f-4cb8f37afc06","Public Policy in the Age of Demographic Uncertainty","This talk showcases a dashboard that creates demographic projections for
regions across the United State of America to help drive impactful
policies aimed at creating better human outcomes. The tool leverages the
power of spatial statistics in R, Shiny, and the Apache Arrow ecosystem
to efficiently provide regionally specific insights. Forecasts and
projections are always challenging, however federal policy uncertainty
and an ongoing erosion to data quality are impeding our ability to plan
for the future. This talk discusses the headwinds to demographic data
creation and dissemination at the federal level and the implications
this could have for local jurisdictions to provide key services to their
communities.",2026-09-15 18:20:00,2026-09-15 18:40:00,"2026-09-15 13:20:00 CDT","2026-09-15 13:40:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom G & J","a73dc105-039e-467b-9047-b8f37bb0f1ba","UPCOMING"
"5bfee72a-5df6-46b3-9c5f-e83ee734fcaa","9a1df9f6-1285-4eb4-aba9-c9979acec58f","8f5f8944-1162-403c-a1db-630773982de4","MCP, or not MCP","Model Context Protocol is a standard for defining tools that can be made
available to LLMs and AI applications. There’s a lot of noise out there
about what you should use to get the best results from AI, so in this
talk, I will provide some guidance on when you should use MCP, and when
you should reach for some other tool. I will describe cases where MCP is
the right tool for the job, and when other things, like skills or other
context files, are better. I will also devote attention to questions of
security and authentication, which are important for MCP. Some critics
of MCP have argued that they are risky, and I’ll discuss why. Then, I
will show how you can use MCP in a way that actually improves your
security and will delight IT admins.",2026-09-15 18:40:00,2026-09-15 19:00:00,"2026-09-15 13:40:00 CDT","2026-09-15 14:00:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom A-F","a94f5251-3484-4b8e-90df-fbc15b0cf375","UPCOMING"
"6cc8186d-079b-4805-8ee2-e406fa38f1e7","738135c6-e8a7-4f79-bd56-b4c9e525f2e9","59aa2a5a-0cb8-42ff-af1f-4cb8f37afc06","Outgrowing Spreadsheets: Rebuilding Research Data Collection with Shiny and Posit Connect","I’ll share how our nonprofit research team transformed a fragile,
spreadsheet-based data collection process into a sustainable system
using Shiny and Posit Connect. We publish a data set on 2,500 hospital
financial assistance programs and how they collect medical debt from
patients. Our team collected this data using Google Forms and sheets. It
technically worked, but it was fragile, slow, and completely dependent
on one person (me). When we finally got Posit Connect, we rebuilt the
system based on three principles: structured data entry, automated
validation, and recorded updates. This talk shares the before-and-after
architecture and practical lessons for teams ready to outgrow
spreadsheets and design sustainable workflows.",2026-09-15 19:00:00,2026-09-15 19:20:00,"2026-09-15 14:00:00 CDT","2026-09-15 14:20:00 CDT","Virtual","HYBRID","SCHEDULE",,"Ballroom G & J","a73dc105-039e-467b-9047-b8f37bb0f1ba","UPCOMING"
"4c2f7f68-a78e-4be4-98ec-d30fe9bc3571","e6a9a754-554b-40b3-bc07-8832232817ac",,"Dashboards","There are 4 20-minute talks in this session:

2:40 - 3:00PM CT \| The Unreasonable Effectiveness of Quarto \| John
Paul Helveston

3:00 - 3:20PM CT \| The Tableau Plateau: From Dashboards to AI-Ready
Data Products \| Blake Abbenante

3:20 - 3:40PM CT \| Bridging the Gap: Custom Catalogs to Connect End
Users with Data Products \| Malosree Maitra

3:40 - 4:00PM CT \| Scaling Reports: Template \> Package \> App \| Jadey
Ryan & Tanya Shapiro",2026-09-15 19:40:00,2026-09-15 21:00:00,"2026-09-15 14:40:00 CDT","2026-09-15 16:00:00 CDT","Virtual","HYBRID","STAGE","Lanier Ballroom H&K","Ballroom H & K","0522ae00-7c31-4f8c-ab7a-b668a7ee0a59","UPCOMING"
"862b4361-9391-4139-b9cb-975dd0f8b168","e2a92817-4550-43ea-bb57-97c6a3643b3b",,"Organization-wide goodies","There are 4 20-minute talks in this session:

2:40 - 3:00PM CT \| Say Yes to the Request - From Helping One to
Empowering Many \| Becca Krouse

3:00 - 3:20PM CT \| One Report, Many Audiences: Role‑Based Views in
Posit Connect \| Inger Bergom

3:20 - 3:40PM CT \| Quarto Wiki Chatbot \| Aliza Samad & Sofia Lendahl

3:40 - 4:00PM CT \| Positron for Everyone: Organization-Wide Posit
Tooling on Amazon SageMaker \| James Blair & Subodh Kumar",2026-09-15 19:40:00,2026-09-15 21:00:00,"2026-09-15 14:40:00 CDT","2026-09-15 16:00:00 CDT","Virtual","HYBRID","STAGE","Lanier Ballroom G&J","Ballroom G & J","a73dc105-039e-467b-9047-b8f37bb0f1ba","UPCOMING"
